Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2025,"12        ",Female,18,Left-Handed,143.5,21.5,156.5,2,Bus,15,0.414,50,Soccer,492,551,749,583,198,1000,21,"Right foot",65,65,"Same length",October,Fall,No,No,"Rice/Noodle dishes",Water,English,10,10,2,"Yes - broadband connection","In person",5,4,5,3,2,5,0,0,5,5,3,3,35,3,"Very little","Graduate degree",Other,Invisibility,Happy,Other,Health
USA,NY,2025,"12        ",Female,17,Right-Handed,167,24,43,1,Car,15,0.601,64,Other,0,500,500,500,100,100,24,"Same length",75,60,"Index finger",July,Summer,No,No,Pizza/Pasta,Water,English,5,8,5,"Yes - broadband connection","Text messaging",3,10,10,3,18,3,7.5,0,5,1.5,20,3,0,3,"A lot","Graduate degree",Pop,Telepathy,Healthy,Relative,Environment
USA,PA,2025,"12        ",Male,18,Right-Handed,185,28,170,2,Car,6,.34,38,"Martial Arts",1000,765,759,513,278,743,28,"Same length",,,"Ring finger",April,Winter,No,No,Meat,Tea,Music,4,6,4,"Yes - broadband connection","In person",2,8,6,1,2,2,3,10,4,2,16,1,20,5,Some,"Graduate degree",Other,"Freeze time",Happy,"Musician or singer","Wildlife, animals"
USA,MA,2025,"12        ",Female,18,Left-Handed,5'4,22.86,157.5,2,Car,4,0.304,36,Dancing,813,866,1000,861,741,321,22.82,"Right foot",106.7,63.5,"Index finger",October,Fall,No,No,Breads/Sandwiches,Coffee,Music,6,6,3,"Yes - other","Internet chat or instant messaging",58,84,6,2.1,14,14,1.5,2.1,28,42,21,12,6,14,Some,"Graduate degree","Rock and roll",Fly,Happy,"Musician or singer",Health
USA,ID,2025,"12        ",Male,25,Right-Handed,168,28,155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VT,2025,"12        ",Male,16,Left-Handed,179,27,181,1,Bus,15,.333,41,Lacrosse,0,0,0,1,0,1000,27,"Same length",60,60,,December,Summer,No,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)","Physical education",8,10,3,"Yes - broadband connection","Cell phone",18,27,20,1,0,5,10,2,10,10,10,3,0,0,Some,"High school","Rap/Hip hop",Invisibility,Rich,"Sports person",Other
USA,NC,2025,"12        ",Female,16,Right-Handed,170,26,172,2,Bus,10,0.444,47,Walking/Hiking,1000,1000,1000,1000,529,524,26,"Same length",8.5,8,"Same length",October,Summer,Yes,No,Pizza/Pasta,Water,English,6,8,6,"Yes - broadband connection","Text messaging",50,65,7,,,,,,,,,,,,,,,,,,
USA,WA,2025,"12        ",Male,18,Ambidextrous,178,27,214,1,Car,8,.0472,31,"Martial Arts",650,600,750,350,800,1000,27,"Same length",80,73,"Index finger",August,Fall,Yes,No,Meat,"Soft drink (caffeinated)",History,8,10,3,"Yes - other","Internet chat or instant messaging",80,90,20,10,7,10,5,5,0,10,15,8,30,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Education/Youth development"
USA,NC,2025,"10        ",Male,16,Right-Handed,188,30,196,1,Car,15,0.377,42,Other,800,1000,834,10,1000,1000,30,"Same length",89,83,"Index finger",November,Winter,Yes,No,Poultry,Milk,Music,5,7,3,"Yes - broadband connection","Internet chat or instant messaging",100,100,20,7,1,4,4,20,10,15,72,0,16,0,"Very little","Graduate degree",Gospel,"Freeze time",Happy,"Musician or singer",Health
USA,OR,2025,"12        ",Male,17,Right-Handed,174,25,178,2,Car,15,0.271,35,Soccer,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2025,"12        ",Male,17,Right-Handed,188,31,63,2,Bus,25,.31,32,Soccer,492,482,800,523,212,989,29,"Right foot",77,80,"Ring finger",September,Summer,No,No,Poultry,Water,History,7,10,6,"Yes - broadband connection","In person",3,5,2,1,.15,15,7,4,6,1,3,0,12,0,Some,"High school","Heavy metal","Freeze time",Rich,Relative,"Education/Youth development"
USA,OR,2025,"11        ",Female,17,Right-Handed,165,23,169,1,Car,7,0.524,51,Dancing,700,700,700,700,700,700,23,"Same length",90,100,"Index finger",May,Summer,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OR,2025,"12        ",Male,18,Right-Handed,170,25.5,179.5,2,Car,8,0.352,44,Basketball,909,738,845,818,27,86,25.6,"Left foot",75,76,"Ring finger",December,Fall,Yes,No,Pizza/Pasta,Water,English,7,9,3,"Yes - broadband connection","Internet chat or instant messaging",19,23,7,1,15,10,6,1,35,25,60,6,0,2,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Happy,"Sports person",Health
USA,CA,2025,"12        ",Female,17,Right-Handed,5'1,7,50,2,Car,10," 0.63",75,Swimming,,,,,,,56,"Same length",7,7,"Index finger",October,Winter,Yes,No,Meat,Juice,Other,6,11,4,"Yes - dial-up connection","Internet chat or instant messaging",123,189,,,,,,,,,,,,,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Rich,Relative,"Wildlife, animals"
USA,CA,2025,"11        ",Male,17,Right-Handed,5'6,9',6'7,2,Car,13,0.565,41,Baseball/Softball,1000,1000,1000,1000,257,342,23,"Left foot",3',3',"Same length",May,Winter,No,No,Meat,"Soft drink (non-caffeinated)",History,7,5,5,"Yes - broadband connection","Text messaging",15,3,32hrs,1hr,10min,4hrs,25hrs,4hrs,12hrs,2hrs,4hrs,0hrs,12hrs,1hrs,"Very little","High school",Other,"Super strength",Rich,Actor,Health
USA,SC,2025,"12        ",Female,18,Right-Handed,163,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2025,"12        ",Male,18,Right-Handed,164,26,174.5,1,Car,15,0.461,45,Soccer,1000,1000,1000,1000,1000,1000,26,"Same length",7.5,8.00,"Ring finger",May,Winter,No,No,"No favorite",Water,History,8,6,8,"Yes - other","In person",100,124,3,20,5,3,2,1,20,4,1,1,20,5,"Very little","Some college",Other,Invisibility,Rich,"Musician or singer",Environment
USA,CA,2025,"12        ",Male,17,Right-Handed,177.8,22.86,81.28,2,Boat,77,0.336,22,Soccer,0,0,0,0,1000,1000,22.86,"Same length",5,3.5,"Index finger",June,Winter,No,No,Pizza/Pasta,Water,"Physical education",5,3,4,"Yes - other","Text messaging",67,101,40,10,0,48,10,15,25,48,16,22,100,0,None,"High school",Classical,Fly,Rich,"Business person",Health
USA,OR,2025,"12        ",Female,17,Right-Handed,160,151,151,2,Car,5,0.314,37,Tennis,700,700,700,700,500,800,21.5,"Same length",67,67,"Same length",September,Fall,Yes,No,Desserts,Water,"Mathematics and statistics",8,10,3,"Yes - other","In person",3,3,0,0,9,5,1,0.5,0.5,0.5,7,1,0,1,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,Other,"International aid"
USA,MA,2025,"12        ",Female,17,Right-Handed,173,24.5,171,1,Car,4,,,Soccer,750,950,700,730,750,750,24.5,"Same length",74,76,"Ring finger",June,Summer,No,No,"No favorite",Coffee,"Social studies",6,7,4,"Yes - other","Text messaging",70,132,15,8,14,13,10,1,15,20,50,2,5,4,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Friend,Environment
USA,MN,2025,"12        ",Female,17,Left-Handed,159.5,20.5,157,2,Bus,30/60,0.556,43,Baseball/Softball,492,904,299,925,0,1000,21.5,"Left foot",8.2,8.2,"Same length",May,Summer,No,No,Seafood,Water,Other,9,11,5,"Yes - other","Text messaging",100,100,1,4,2,5,1,0,3,6,9,2,0,5,"A lot","Graduate degree",Other,Invisibility,,Relative,Health
USA,OR,2025,"12        ",Male,17,Right-Handed,185,27,190,1,Car,10,0.339,47,Basketball,503,0,0,251,1000,1000,27,"Same length",70,80,"Ring finger",May,Summer,No,No,Poultry,Water,Other,7,10.5,3,"Yes - broadband connection","Text messaging",20,150,5,1,3,3,0,30,5,2,30,0,0,0,"A lot","Undergraduate degree",Gospel,Fly,Rich,"Religious figure","Wildlife, animals"
USA,CO,2025,"12        ",Male,17,Right-Handed,175,25,172.5,2,Car,20,0.34,54,Other,750,150,40,50,700,900,24.9,"Right foot",90.5,90,"Index finger",March,Spring,Yes,No,Meat,Water,Other,7.5,8,3,"Yes - other","Text messaging",30,40,4,1,2,14,1,20,2,1,3,3,25,0,"Very little","Graduate degree","Rap/Hip hop",,Rich,"Business person","Wildlife, animals"
USA,CA,2025,"12        ",Male,16,Right-Handed,175,7,175,2,,15min,.35,36,Soccer,583,578,743,743,944,1000,7,"Same length",7,8,"Ring finger",October,Winter,No,No,"No favorite",Water,"Mathematics and statistics",7,10,6,"Yes - other","Internet chat or instant messaging",25,25,15,1,4,20,12,15,3,5,10,0,0,15,Some,"Graduate degree",,"Freeze time",Rich,Relative,Religious
USA,VT,2025,"12        ",Male,16,Right-Handed,172.2,27,172,1,Car,2,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,SC,2025,"11        ",Male,16,Right-Handed,183,26,185,1,Car,5,.412,50,Other,1000,1000,1000,1000,500,500,26,"Same length",60,70,"Ring finger",May,Summer,No,No,Meat,Tea,History,6,10,4,"Yes - other","Text messaging",100,150,20,5,5,20,20,0,10,10,10,10,40,10,Some,"Some college",Reggae,Fly,Happy,"Community leader or elder",Religious
USA,NC,2025,"12        ",Male,18,Right-Handed,5'6,,,1,Bus,10,0.131,33,Other,1000,800,1000,1000,900,1000,,"Same length",,,"Ring finger",November,Winter,No,No,Fruit,Juice,Art,7,9,3,"Yes - other","Text messaging",2,8,3,1,2,4,3,5,0,1,6,7,,2,Some,,Techno/Electronic,Fly,Healthy,Other,Health
USA,NC,2025,"10        ",Male,16,Right-Handed,165,20.32,163,1,Car,13,0.497,45,Other,492,305,369,380,754,754,20.32,"Same length",76,76,"Same length",January,Winter,Yes,No,"Rice/Noodle dishes","Soft drink (caffeinated)",Art,7,8,3,"Yes - broadband connection","Text messaging",N/A,N/A,none,none,1,1,8+,4+,4+,4+,8+,0,0,0,Some,"Undergraduate degree","Rock and roll",Fly,Happy,Friend,Health
USA,CA,2025,"12        ",Female,17,Right-Handed,152cm,23cm,144cm,2,Car,8:00,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2025,"9         ",Female,14,Ambidextrous,162.5,63,76.2,2,Car,17,0.337,41,Other,866,743,497,182,1000,1000,64,"Left foot",80,70,"Index finger",March,Fall,Yes,No,Other,Water,Science,6,4,4,"Yes - broadband connection","Cell phone",246,2787,5,15,15,20,10,15,10,5,5,0,0,10,"A lot","Graduate degree","Heavy metal",Invisibility,Rich,Other,"International aid"
USA,NJ,2025,"12        ",Female,17,Left-Handed,167,25,166,1,Car,45,0.401,57,Tennis,700,800,500,400,450,450,25,"Left foot",70,60,"Index finger",July,Summer,No,No,Pizza/Pasta,Tea,History,8,10,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",300,300,20,25,4,50,10,0,10,70,30,10,8,2,Some,"Undergraduate degree",Pop,Invisibility,Happy,"Business person","Wildlife, animals"
USA,SC,2025,"11        ",Female,18,Right-Handed,154.3,27,177.8,1,Car,6,0.44,55,Other,600,600,600,600,0,1000,26,"Right foot",80,90,"Index finger",March,Fall,No,No,Desserts,Tea,Science,7,14,3,"Yes - broadband connection","Text messaging",6,8,0,2,2,2,3,0,3,2,140,120,18,40,"A lot","High school",Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,TX,2025,"12        ",Male,18,Right-Handed,177.8,26.67,180.9,1,Car,5,0.346,46,Golf,540,684,525,321,561,561,27.94,"Left foot",90,90,"Same length",November,Summer,No,No,Meat,Water,History,7,6,3,"Yes - broadband connection","Text messaging",30,50,10,5,2,20,10,1,3,3,5,2,0,0,"A lot","Undergraduate degree",Country,Invisibility,Happy,"Sports person",Health
USA,WA,2025,"11        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2025,"10        ",Female,16,Right-Handed,152,20,152,2,Car,10,0.472,38,Walking/Hiking,843,500,600,500,400,700,20,"Same length",80,70,"Index finger",November,Fall,No,No,Seafood,Water,"Mathematics and statistics",7,5,6,"Yes - other","Text messaging",1000,2000,3,,,,,,,,,,,,,,,,,,
USA,PA,2025,"12        ",Female,17,Right-Handed,157.5,22.9,158.8,2,Car,40,0.551,41,Soccer,652,658,749,476,11,706,21.59,"Right foot",7,6.5,"Index finger",August,Summer,No,No,Desserts,Water,Science,5,8,2,"Yes - broadband connection","Internet chat or instant messaging",5,9,0,2,42,14,0,0,5,2,42,4,23,14,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,"Wildlife, animals"
USA,FL,2025,"9         ",Female,13,Right-Handed,154,24,154,2,Bus,15,0.394,37,Other,578,182,390,305,0,358,24,"Same length",70,70,"Same length",September,Summer,Yes,No,Seafood,Coffee,English,6,9,4,"Yes - other","Internet chat or instant messaging",60,40,12,1,5,12,2,2,34,28,28,14,0,7,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
USA,PA,2025,"12        ",Male,17,Left-Handed,167.6,20,250,1,Car,15,0.6,39,"Football (American)",1000,529,326,578,257,214,20,"Same length",68,54,"Index finger",November,Summer,No,No,Poultry,Water,"Physical education",8,9,6,"Yes - broadband connection","Text messaging",200,200,10,1,0,1,0,20,10,50,50,1,40,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,CO,2025,"12        ",Female,18,Right-Handed,167,24,165.5,1,Car,8,.417,44,Soccer,791,449,316,294,765,754,23,"Right foot",95,100,"Ring finger",October,Summer,Yes,No,Soups,Water,History,7,9,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",101,243,8,2,5,3,5,0,11,4,3,1,8,2,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Famous,Actor,Health
USA,NC,2025,"12        ",Female,17,Right-Handed,157,22,29,1,Car,26,0.375,43,Tennis,770,503,497,524,829,882,22,"Same length",6,6,"Same length",December,Winter,Yes,No,Pizza/Pasta,Water,Art,9,5,7,"Yes - broadband connection","Text messaging",2,10,10,0,0,6,1,8,10,1,10,4,0,6,"Very little","Graduate degree",Pop,,Happy,Relative,"Arts, culture, sports"
USA,ID,2025,"12        ",Male,21,Right-Handed,173,24,174,1,Car,5," 0.34",32,"Martial Arts",980,800,990,500,800,900,25,"Left foot",76,78,"Ring finger",October,Fall,No,No,Meat,Water,History,6.5,8,8,"Yes - broadband connection","Text messaging",30,40,9,2,10,3,2,0,8,2,6,3,20,3,Some,"Undergraduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,PA,2025,"12        ",Male,17,Right-Handed,178,23.5,168,1,Walk,6,.277,35,Running/Jogging,900,500,700,700,750,900,23.5,"Same length",79,76,"Index finger",June,Winter,No,No,Fruit,Milk,"Mathematics and statistics",5,9,4,"Yes - other","In person",3,3,2,21,0,5,0,28,10,2,3,10,0,3,Some,"Undergraduate degree",Other,"Freeze time",Happy,Other,"International aid"
USA,CA,2025,"12        ",Female,17,Left-Handed,152.4,20.32,38,2,Walk,25,.45,45,Walking/Hiking,999,999,999,999,100,500,20.32,"Same length",65,70,"Ring finger",July,Winter,No,No,Meat,Juice,History,8,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",40,39,1,1,5,1,0,5,5,2,7,3,0,5,Some,"Undergraduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,"Wildlife, animals"
USA,VT,2025,"12        ",Female,17,Left-Handed,174,26,171,3,Car,12,"0,38",130,Tennis,1000,1000,1000,1000,300,1000,26,"Same length",60,70,"Index finger",June,Summer,No,No,Salads,Water,"Social studies",7,7,6,"Yes - broadband connection","In person",45,40,10,4,5,2,1,0,7,11,,2,0,,"Very little",Other,Classical,Invisibility,Happy,Relative,"Wildlife, animals"
USA,WI,2025,"9         ",Female,14,Right-Handed,154.9,23,154,1,Car,2,.403,46,Other,749,829,214,187,48,86,24,"Left foot",900,800,"Index finger",June,Summer,No,No,Fruit,Juice,"Mathematics and statistics",6,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",500,500,40,1,5,20,60,10,50,30,70,40,0,7,"A lot","Some college",Pop,Telepathy,Happy,Teacher,"Education/Youth development"
USA,CO,2025,"12        ",Female,18,Right-Handed,165,23.5,157,1,Car,10,0.393,47,Golf,909,1000,500,560,150,200,23.5,"Same length",7,7,"Index finger",December,Summer,Yes,No,"Rice/Noodle dishes",Water,Art,6,9,3,"Yes - other","Text messaging",15,15,15,3,7,7,10,3,15,8,15,5,30,3,Some,"Graduate degree",Country,"Freeze time",Happy,Friend,"International aid"
USA,NC,2025,"12        ",Female,17,Right-Handed,162,22,162,1,Car,7,.423,37,Walking/Hiking,369,353,519,604,749,909,22.8,"Left foot",62,61,"Index finger",April,Summer,No,No,Fruit,Coffee,Science,6,8,4,"Yes - broadband connection","Internet chat or instant messaging",61,58,10,.5,5,4,12,0,20,6,20,20,15,6,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,Friend,"International aid"
USA,MA,2025,"12        ",Male,18,Left-Handed,5'10,26,183,2,Bus,15,0.397,49,Basketball,650,600,1000,750,300,700,26,"Same length",70,75,"Ring finger",February,Fall,Yes,No,Pizza/Pasta,Water,History,6,8,5,"Yes - broadband connection","Text messaging",30,30,4,1,0,2,2,5,5,4,5,3,10,3,"Very little","High school","Rap/Hip hop",Fly,Rich,Friend,"Education/Youth development"
USA,NC,2025,"12        ",Male,18,Left-Handed,18533,33,193,1,Car,12,0.31,46,Athletics,1000,400,250,1000,0,450,33,"Same length",82,82,"Same length",February,Summer,Yes,No,Meat,Water,"Physical education",7,10,5,"Yes - broadband connection","Cell phone",12,33,10,4,5,4,12-15,24,5,2,24,0,0,7,Some,"Some college","Rap/Hip hop",Telepathy,Happy,Other,"Wildlife, animals"
USA,SC,2025,"11        ",Female,17,Left-Handed,168,27,172.5,1,Car,10,1.3,46,None,10,10,10,10,1000,1000,26,"Right foot",7.8,7.13,"Ring finger",July,Fall,Yes,No,Pizza/Pasta,Water,Other,8,14,3,"Yes - other",Other,128,300,0,3,5,2,0,0,4,2,8,2,0,0,"A lot",Other,Other,"Freeze time",Happy,Other,"Wildlife, animals"
USA,OR,2025,"12        ",Male,17,Right-Handed,187,30,198,1,Car,10,.232,29,Baseball/Softball,400,200,100,300,200,600,30,"Same length",88,90,"Ring finger",December,Winter,No,No,Meat,"Soft drink (caffeinated)",Other,10,11,5,"Yes - broadband connection","In person",20,40,4,0,1,4,12,1,0,1,7,2,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Religious figure","Arts, culture, sports"
USA,GA,2025,"12        ",Male,17,,169,27.23,170.2,2,Car,10,.293,42,Athletics,700,700,700,650,800,900,27.1,"Right foot",100.3,97.4,"Index finger",February,Fall,Yes,No,Seafood,Water,History,6,10,4,"Yes - other","Text messaging",30,20,5,10,5,15,8,20,20,15,20,5,15,10,Some,"High school","Rap/Hip hop",Telepathy,Rich,"Sports person","Wildlife, animals"
USA,WA,2025,"11        ",Male,17,Right-Handed,,29.8,,1,Bus,,0.377,34,Bowling,316,53,86,235,652,925,29.8,"Same length",70,70,"Same length",January,Summer,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)","Computers and technology",4,3,5,"Yes - broadband connection","Internet chat or instant messaging",0,2,0,0.1,3,15,0,70,40,0.5,70,45,0,0,"A lot","Graduate degree",Pop,"Freeze time",Famous,Relative,Environment
USA,CA,2025,"12        ",Male,17,Right-Handed,5'9,26.8,183cm,2,Car,7m,0.351,40s,Soccer,947,663,267,406,524,759,29,"Same length",70mm,69mm,,October,Fall,No,No,Meat,Water,Art,7,5-6,5,"Yes - other","In person",750,600,10,4,1,13,5,3,6,3,2,3,6,4,Some,"High school",Other,Fly,Happy,"Sports person","Wildlife, animals"
USA,SC,2025,"11        ",Female,17,Right-Handed,170,24,164,`1,Car,10,.422,42,Soccer,668,615,455,578,160,567,24,"Same length",75,74,"Index finger",November,Fall,No,No,Meat,Water,Art,8,10,2,"Yes - broadband connection","Cell phone",54,246,25,50,18,5,8,18,20,5,30,10,25,5,Some,"Some college","Rhythm and blues (R&B)","Freeze time",Happy,"Business person","International aid"
USA,OR,2025,"12        ",Male,18,Right-Handed,181,25,177,1,Car,8,0.309,21,Cycling,947,893,684,759,476,674,25,"Same length",77,79,"Ring finger",November,Fall,No,No,"No favorite",Water,English,8,9,4,"Yes - broadband connection","In person",250,250,20,9,2,9,0,14,0,14,60,45,0,4,Some,"Graduate degree",Other,"Freeze time",Happy,Teacher,"Education/Youth development"
USA,NC,2025,"12        ",Female,18,Right-Handed,165,27,166,1,Car,10,.617,45,Baseball/Softball,75,60,75,70,50,100,27.3,"Left foot",73,73,"Same length",February,Summer,No,No,Seafood,"Soft drink (non-caffeinated)",History,6,7,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",41,30,10,4,1,70,4,3,80,20,100,7,30+,2,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
USA,IN,2025,"11        ",Female,17,Right-Handed,67,24,173,1,Bus,5,0.408,40,Walking/Hiking,2,500,600,300,800,1000,24,"Same length",92,73,"Index finger",December,Fall,No,No,Fruit,Water,"Mathematics and statistics",6,9,6,"Yes - broadband connection","In person",70,150,10,72,15,6,10,3,5,13,100,8,27,7,"Very little","Graduate degree","Rhythm and blues (R&B)",Fly,Healthy,Friend,"Wildlife, animals"
USA,NC,2025,"12        ",Female,16,Right-Handed,177,10,70,2,Car,20,0.361,40,Walking/Hiking,90,80,80,80,60,70,10,"Same length",30,30,"Same length",November,Summer,No,Yes,Vegetables,Water,Other,8,6,4,"Yes - broadband connection",Other,10,15,15,5,3,7,4,0,10,7,20,2,0-20,2,Some,Other,Other,Fly,Happy,"Musician or singer","Wildlife, animals"
USA,WA,2025,"11        ",Female,16,Right-Handed,5'2,,,1,Car,5,.4,50,Walking/Hiking,241,433,53,369,0,695,,,,,"Ring finger",June,Fall,No,No,"No favorite","Soft drink (caffeinated)",Other,6,8,3,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,"A lot","High school",Pop,Invisibility,Rich,Other,"Wildlife, animals"
USA,NJ,2025,"11        ",Male,16,Right-Handed,168,27,169,2,Bus,57,0.278,35,"Football (American)",690,695,1000,834,743,898,27,"Same length",95,100,"Ring finger",December,Winter,No,No,Poultry,Water,"Physical education",6,8,4,"Yes - broadband connection","Internet chat or instant messaging",5,10,2,1/2,0,3,30,15,0,1,10,0,24,0,,"Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,Health
USA,NC,2025,"12        ",Male,16,Right-Handed,173,27,170,1,Car,5,0.33,45,"Martial Arts",500,500,500,500,500,500,27,"Same length",72,76,"Ring finger",June,Spring,No,No,Meat,"Soft drink (caffeinated)","Physical education",6,7,4,"Yes - other","Text messaging",10,10,7,20,10,10,10,10,40,20,40,40,14,14,Some,Other,Country,"Super strength",Healthy,"Coach or club leader",Health
USA,NC,2025,"12        ",Female,17,Right-Handed,157.4,12.5,160,1,Car,11,.279,38,Other,800,12,15,16,79,40,12.7,"Left foot",66,59,"Index finger",February,Summer,No,No,Fruit,Water,"Mathematics and statistics",9,9,4,"Yes - broadband connection",Other,200,400,45,3,12,4,5,0,13,6,30,5,9,3,"A lot",Other,Pop,Fly,Healthy,Relative,Health
USA,NC,2025,"10        ",Female,15,Right-Handed,162.5,38.1,160,1,Bus,30,0.342,60,Walking/Hiking,888,663,658,674,503,802,38.1,"Same length",10,7,"Index finger",September,Spring,Yes,No,Poultry,Water,History,5,3,3,"Yes - broadband connection","Text messaging",6,14,2,1,4,5,0,2,0,10,24,1,0,0,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Other,Health
USA,NC,2025,"12        ",Male,18,Right-Handed,172,28,181,1,Bus,35,0.29,46,Dancing,904,674,765,909,594,898,27,"Right foot",70,80,"Ring finger",January,Fall,Yes,No,Seafood,Water,History,8,6,4,"Yes - broadband connection","Text messaging",25,35,35,15,15,20,0,80,30,15,168,0,30,0,Some,"Graduate degree",Other,Telepathy,Rich,Actor,"International aid"
USA,NY,2025,"12        ",Male,16,Right-Handed,177,26,182,2,Car,20,.16,23,"Football (American)",700,900,400,300,500,1000,25,"Right foot",92,93,"Ring finger",March,Spring,Yes,No,Breads/Sandwiches,Water,English,5.5,8,5,"Yes - broadband connection","Text messaging",47,53,10,,,,,,,,,,,,,,,,,,
USA,IN,2025,"11        ",Male,16,Right-Handed,,27,,1,Car,8,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2025,"12        ",Female,17,Right-Handed,162,24,18,1,Car,8,0.407,42,Dancing,900,850,990,1000,70,90,24,"Same length",,,"Index finger",February,Spring,No,No,Breads/Sandwiches,"Soft drink (caffeinated)",Art,8,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",200,800,6,18,3,1,0,4,6,24,6,2,4,2,"A lot","Some college",Pop,Telepathy,Happy,Friend,"Wildlife, animals"
USA,VT,2025,"12        ",Male,17,Right-Handed,178,29,178,2,Car,7,0.417,47,"Martial Arts",500,500,500,750,750,750,28.9,,7,7.2,"Ring finger",July,Fall,No,No,Meat,Water,History,8.50,10,2,"Yes - broadband connection","Text messaging",100,100,24,12,0,16,7,6,8,8,8,8,20,2,Some,"Undergraduate degree",Country,Invisibility,Happy,"Coach or club leader","Wildlife, animals"
USA,WA,2025,"11        ",Female,17,Right-Handed,164,20,52,2,Bus,20,0.574,60,Basketball,1000,1000,100,500,500,1000,20,"Same length",7,6.3,"Index finger",December,Summer,Yes,No,Other,Water,Other,7,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",100,100,50,10,1,1,1,0,,,,,,,,,,,,,
USA,ID,2025,"12        ",Male,45,Right-Handed,170,25,170,2,Car,15,0.376,42,"Martial Arts",936,920,1000,1000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2025,"12        ",Male,17,Right-Handed,167.6,26,12,2,Bus,30,312,312,Soccer,0,0,0,0,800,100,25,"Same length",80,85,"Ring finger",September,Winter,Yes,No,Other,"Energy drink",,6-7,5-7,6,"Yes - other","In person",20,20,6,1,1,9,1,11,24,4,3,2,4,3,"Very little","Less than high school","Rhythm and blues (R&B)","Freeze time",Rich,Relative,"Arts, culture, sports"
