Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WI,2025,"9         ",Female,15,Right-Handed," 152 ",17,163,1,Bus,15,.708,40,Athletics,781,508,652,754,0,0,18,"Left foot",60,7,"Ring finger",September,Fall,No,No,Meat,Water,History,5,3,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",60,80,8,4,1,2,4,0,7,6,4,0,8,4,"A lot","Some college",Country,Invisibility,Happy,"Sports person","Education/Youth development"
USA,NJ,2025,"11        ",Female,15,Right-Handed,161.5,23,162.6,2,Car,20,0.293,31,Swimming,1000,508,1000,1000,53,251,23,"Same length",70,80,"Ring finger",September,Fall,No,No,Meat,Water,English,8,11,7,"Yes - broadband connection","Text messaging",200,200,0,3,15,7,5,2,5,10,7,7,0,3,,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,Relative,"International aid"
USA,GA,2025,"12        ",Male,17,Right-Handed,191,29,200,1,Car,2,.038,36,Other,1000,1000,1000,1000,300,500,29,"Same length",80,81,"Ring finger",February,Summer,Yes,No,Poultry,"Energy drink",Science,7,12,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",50,500,0,40,0,2,50,10,60,15,68,30,0,19,Some,"Some college",Other,Telepathy,Healthy,,Environment
USA,WA,2025,"11        ",Male,16,Ambidextrous,,,,1,Car,,,,Skateboarding/Rollerblading,,,,,,,,"Right foot",,,,March,Summer,Yes,No,Desserts,Tea,Other,4,6,4,,,,,,,,,,,,,,,,,Some,"Some college","Rap/Hip hop",,,,Other
USA,PA,2025,"10        ",Male,16,Right-Handed,175.2,,,1,Car,4,0.355,42,Other,299,251,353,572,834,963,,,,,,April,Winter,No,No,Meat,Tea,"Computers and technology",5,10,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",4,8,5,0.5,0,7,2,20,1,0.1,3,0,0,2,Some,"Graduate degree",Country,Telepathy,Rich,Friend,Other
USA,GA,2025,"12        ",Male,17,Right-Handed,187,47.5,200,2,Bus,20,0.354,31,"Martial Arts",706,663,738,556,182,348,47.5,,100,100,"Same length",August,Fall,Yes,No,Fruit,Tea,"Computers and technology",7,9,4,"Yes - broadband connection","Text messaging",20,400,5,4,0,6,3,5,0,2,6,4,2,2,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,Relative,Health
USA,IN,2025,"11        ",Male,16,Right-Handed,,27,,1,Car,8,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2025,"12        ",Male,17,Right-Handed,184,,175.2,1,Car,7,0.334,37,Walking/Hiking,770,176,668,658,455,444,,"Same length",75,75,"Same length",May,Winter,Yes,No,Meat,Juice,History,6,12,4,"Yes - broadband connection","Text messaging",7,8,1,1,2,10,2,48,0,5,48,0,20,4,None,"Graduate degree","Rap/Hip hop","Super strength",Famous,Relative,Environment
USA,TN,2025,"12        ",Female,18,Left-Handed,5'1,20,138,2,Car,14,0.501,50,Other,503,1000,1000,1000,0,1000,20,"Same length",60,70,"Same length",January,Winter,Yes,No,Seafood,Water,Other,8,15,8,"Yes - other","Text messaging",250,300,0,2,0,8,0,0,24/7,24/7,24/7,3,0,4,"A lot","Graduate degree",Other,Telepathy,Healthy,Relative,Religious
USA,OR,2025,"12        ",Female,17,Right-Handed,163.5,23,165.5,2,Car,9,0.492,50,Athletics,941,877,818,743,545,711,23,"Same length",84.8,75,"Same length",August,Fall,Yes,No,"Rice/Noodle dishes",Tea,"Social studies",6,9,3,"Yes - other","Internet chat or instant messaging",100,250,5,6,6,7,6,4,7,7,7,6,4,6,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Rich,Relative,Health
